Agency;Distribution;Industry;LOB;Master Agency;Office;Pol Eff Yrmo;Pol Proc Yrmo;POL_EFF_Yr;Policy ID;Risk State;Snapshot Date;F23;Issues;New Issued Premium;Number of Records;Quotes;Rateable Manual Premium;Rateable Manual Schedule Premium
I7;Agency Plant;Wholesale Trade;WC;Master Agent I;CE;1.05.2019;1.08.2019;2019;116792109;OH;12/31/2019;;0;;1;1;1665;1448,55
H1;Agency Plant;Wholesale Trade;WC;Master Agent H;CE;1.09.2019;1.08.2019;2019;46812946;MA;12/31/2019;;0;;1;1;6071;6253,13
M5;Agency Plant;Wholesale Trade;WC;Master Agent M;CE;1.12.2019;1.09.2019;2019;89044460;MI;12/31/2019;;0;;1;1;6901;6624,96
F8;Agency Plant;Wholesale Trade;WC;Master Agent F;CE;1.04.2019;1.10.2019;2019;100923607;NC;12/31/2019;;0;;1;1;4400;4796
N7;Agency Plant;Wholesale Trade;WC;Master Agent N;CE;1.06.2019;1.10.2019;2019;44662048;CT;12/31/2019;;0;;1;1;3981;3304,23
D3;Agency Plant;Wholesale Trade;WC;Master Agent D;CE;1.04.2019;1.11.2019;2019;5612903;FL;12/31/2019;;0;;1;1;8563;7963,59
R4;Agency Plant;Wholesale Trade;WC;Master Agent R;CE;1.04.2019;1.11.2019;2019;11446638;GA;12/31/2019;;0;;1;1;7527;7301,19
D3;Agency Plant;Wholesale Trade;WC;Master Agent D;CE;1.08.2019;1.11.2019;2019;18281343;CA;12/31/2019;;0;;1;1;9121;7844,06
P7;Agency Plant;Wholesale Trade;WC;Master Agent P;CE;1.10.2019;1.12.2019;2019;7783275;WA;12/31/2019;;0;;1;1;7334;6233,9
X4;Agency Plant;Agriculture;WC;Master Agent X;MW;1.01.2019;1.01.2019;2019;97112592;NC;12/31/2019;;0;;1;1;11527;11296,46
E2;Agency Plant;Agriculture;WC;Master Agent E;MW;1.08.2019;1.01.2019;2019;37271056;FL;12/31/2019;;0;;1;1;6664;5264,56
Q5;Agency Plant;Agriculture;WC;Master Agent Q;MW;1.10.2019;1.01.2019;2019;101571717;CA;12/31/2019;;0;;1;1;9587;8820,04
C2;Agency Plant;Agriculture;WC;Master Agent C;MW;1.07.2019;1.06.2019;2019;99842211;AL;12/31/2019;;0;;1;1;7790;8335,3
S3;Agency Plant;Agriculture;WC;Master Agent S;MW;1.05.2019;1.08.2019;2019;121561877;NM;12/31/2019;;0;;1;1;7629;5798,04
O7;Agency Plant;Agriculture;WC;Master Agent O;MW;1.12.2019;1.08.2019;2019;28642821;FL;12/31/2019;;0;;1;1;12176;13393,6
O3;Agency Plant;Agriculture;WC;Master Agent O;MW;1.11.2019;1.10.2019;2019;13872666;CT;12/31/2019;;0;;1;1;6778;5964,64
Y3;Agency Plant;Agriculture;WC;Master Agent Y;MW;1.08.2019;1.11.2019;2019;25832808;CA;12/31/2019;;0;;1;1;5739;5394,66
O7;Agency Plant;Construction;WC;Master Agent O;MW;1.04.2019;1.01.2019;2019;89832892;NY;12/31/2019;;0;;1;1;9350;9724
Q4;Agency Plant;Construction;WC;Master Agent Q;MW;1.01.2019;1.05.2019;2019;117364218;NY;12/31/2019;;0;;1;1;12719;13354,95
Q3;Agency Plant;Construction;WC;Master Agent Q;MW;1.02.2019;1.05.2019;2019;19414086;FL;12/31/2019;;0;;1;1;6307;5991,65
J4;Agency Plant;Construction;WC;Master Agent J;MW;1.08.2019;1.07.2019;2019;11876805;NE;12/31/2019;;0;;1;1;10281;7916,37
L8;Agency Plant;Construction;WC;Master Agent L;MW;1.09.2019;1.07.2019;2019;2513555;IN;12/31/2019;;0;;1;1;10787;11110,61
U1;Agency Plant;Construction;WC;Master Agent U;MW;1.03.2019;1.09.2019;2019;88461716;AL;12/31/2019;;0;;1;1;5333;4053,08
X8;Agency Plant;Construction;WC;Master Agent X;MW;1.12.2019;1.09.2019;2019;57193027;OH;12/31/2019;;0;;1;1;12269;10551,34
I4;Agency Plant;Construction;WC;Master Agent I;MW;1.12.2019;1.10.2019;2019;57912848;KS;12/31/2019;;0;;1;1;9833;9538,01
V1;Agency Plant;Construction;WC;Master Agent V;MW;1.12.2019;1.10.2019;2019;82331931;TX;12/31/2019;;0;;1;1;12720;10557,6
G1;Agency Plant;Consulting;WC;Master Agent G;MW;1.05.2019;1.09.2019;2019;41563713;CA;12/31/2019;;0;;1;1;3220;3059
N8;Agency Plant;Consulting;WC;Master Agent N;MW;1.05.2019;1.11.2019;2019;428376;MO;12/31/2019;;0;;1;1;1924;1481,48
Z1;Agency Plant;Finance & Insurance;WC;Master Agent Z;MW;1.10.2019;1.01.2019;2019;117601452;MI;12/31/2019;;0;;1;1;1723;1343,94
I3;Agency Plant;Finance & Insurance;WC;Master Agent I;MW;1.02.2019;1.02.2019;2019;87003263;MN;12/31/2019;;0;;1;1;4901;4508,92
E4;Agency Plant;Finance & Insurance;WC;Master Agent E;MW;1.02.2019;1.06.2019;2019;11071641;CA;12/31/2019;;0;;1;1;3844;3382,72
B7;Agency Plant;Finance & Insurance;WC;Master Agent B;MW;1.10.2019;1.07.2019;2019;100963591;NJ;12/31/2019;;0;;1;1;2206;2228,06
O3;Agency Plant;Finance & Insurance;WC;Master Agent O;MW;1.02.2019;1.08.2019;2019;60353269;NC;12/31/2019;;0;;1;1;2024;1538,24
C2;Agency Plant;Finance & Insurance;WC;Master Agent C;MW;1.06.2019;1.09.2019;2019;11033270;MS;12/31/2019;;0;;1;1;3633;2942,73
G4;Agency Plant;Finance & Insurance;WC;Master Agent G;MW;1.11.2019;1.10.2019;2019;105572620;CA;12/31/2019;;0;;1;1;2092;2071,08
N3;Agency Plant;Finance & Insurance;WC;Master Agent N;MW;1.12.2019;1.10.2019;2019;48232432;MT;12/31/2019;;0;;1;1;2274;1750,98
B5;Agency Plant;Other;WC;Master Agent B;MW;1.06.2019;1.03.2019;2019;3923858;WA;12/31/2019;;0;;1;1;4736;4215,04
A6;Agency Plant;Other;WC;Master Agent A;MW;1.12.2019;1.06.2019;2019;95621900;CA;12/31/2019;;0;;1;1;4580;4305,2
F6;Agency Plant;Real Estate;WC;Master Agent F;MW;1.04.2019;1.03.2019;2019;6723384;SC;12/31/2019;;0;;1;1;6204;6017,88
Y6;Agency Plant;Real Estate;WC;Master Agent Y;MW;1.09.2019;1.07.2019;2019;61052120;NJ;12/31/2019;;0;;1;1;14097;11559,54
V8;Agency Plant;Real Estate;WC;Master Agent V;MW;1.12.2019;1.07.2019;2019;9660159;CA;12/31/2019;;0;;1;1;14767;12256,61
A4;Agency Plant;Real Estate;WC;Master Agent A;MW;1.01.2019;1.09.2019;2019;42972008;FL;12/31/2019;;0;;1;1;5354;5889,4
M7;Agency Plant;Real Estate;WC;Master Agent M;MW;1.02.2019;1.09.2019;2019;47653080;NC;12/31/2019;;0;;1;1;4475;4698,75
A6;Agency Plant;Restaurants;WC;Master Agent A;MW;1.08.2019;1.01.2019;2019;105884425;TX;12/31/2019;;0;;1;1;2346;1759,5
B3;Agency Plant;Restaurants;WC;Master Agent B;MW;1.06.2019;1.03.2019;2019;6821069;NY;12/31/2019;;0;;1;1;13384;10038
X6;Agency Plant;Restaurants;WC;Master Agent X;MW;1.10.2019;1.05.2019;2019;120710;CT;12/31/2019;;0;;1;1;11803;10032,55
H8;Agency Plant;Restaurants;WC;Master Agent H;MW;1.05.2019;1.07.2019;2019;18081662;NY;12/31/2019;;0;;1;1;1519;1245,58
A3;Agency Plant;Restaurants;WC;Master Agent A;MW;1.02.2019;1.09.2019;2019;16464043;IN;12/31/2019;;0;;1;1;14857;16194,13
T2;Agency Plant;Restaurants;WC;Master Agent T;MW;1.11.2019;1.09.2019;2019;30893909;OR;12/31/2019;;0;;1;1;4915;4570,95
J8;Agency Plant;Restaurants;WC;Master Agent J;MW;1.05.2019;1.10.2019;2019;97971318;VA;12/31/2019;;0;;1;1;5363;5202,11
B2;Agency Plant;Restaurants;WC;Master Agent B;MW;1.02.2019;1.12.2019;2019;70781190;NJ;12/31/2019;;0;;1;1;9260;10000,8
O4;Agency Plant;Restaurants;WC;Master Agent O;MW;1.08.2019;1.12.2019;2019;100822783;CT;12/31/2019;;0;;1;1;14876;12793,36
X5;Agency Plant;Restaurants;WC;Master Agent X;MW;1.10.2019;1.12.2019;2019;11064241;CT;12/31/2019;;0;;1;1;13142;9856,5
X4;Agency Plant;Retail Trade;WC;Master Agent X;MW;1.02.2019;1.01.2019;2019;45671858;NY;12/31/2019;;0;;1;1;5840;5256
N6;Agency Plant;Retail Trade;WC;Master Agent N;MW;1.11.2019;1.01.2019;2019;2641691;NC;12/31/2019;;0;;1;1;1480;1391,2
J7;Agency Plant;Retail Trade;WC;Master Agent J;MW;1.11.2019;1.02.2019;2019;3008197;AL;12/31/2019;;0;;1;1;4329;3376,62
X4;Agency Plant;Retail Trade;WC;Master Agent X;MW;1.10.2019;1.03.2019;2019;67763131;WY;12/31/2019;;0;;1;1;6652;7051,12
A1;Agency Plant;Retail Trade;WC;Master Agent A;MW;1.09.2019;1.04.2019;2019;8790948;PA;12/31/2019;;0;;1;1;7030;5413,1
X3;Agency Plant;Retail Trade;WC;Master Agent X;MW;1.09.2019;1.06.2019;2019;79993182;NC;12/31/2019;;0;;1;1;2198;2022,16
C4;Agency Plant;Retail Trade;WC;Master Agent C;MW;1.11.2019;1.09.2019;2019;8457859;NC;12/31/2019;;0;;1;1;2684;2684
Q2;Agency Plant;Retail Trade;WC;Master Agent Q;MW;1.09.2019;1.10.2019;2019;17942671;NC;12/31/2019;;0;;1;1;3063;2297,25
C3;Agency Plant;Retail Trade;WC;Master Agent C;MW;1.12.2019;1.10.2019;2019;59903775;CA;12/31/2019;;0;;1;1;1994;1615,14
I5;Agency Plant;Retail Trade;WC;Master Agent I;MW;1.01.2019;1.11.2019;2019;116904445;NJ;12/31/2019;;0;;1;1;4024;3259,44
C7;Agency Plant;Retail Trade;WC;Master Agent C;MW;1.03.2019;1.11.2019;2019;46223770;PA;12/31/2019;;0;;1;1;2529;2301,39
F8;Agency Plant;Retail Trade;WC;Master Agent F;MW;1.11.2019;1.11.2019;2019;17533835;MD;12/31/2019;;0;;1;1;1152;956,16
K6;Agency Plant;Retail Trade;WC;Master Agent K;MW;1.01.2019;1.12.2019;2019;70912635;NJ;12/31/2019;;0;;1;1;2489;2264,99
P4;Agency Plant;Technology;WC;Master Agent P;MW;1.02.2019;1.04.2019;2019;116062117;FL;12/31/2019;;0;;1;1;3425;3390,75
Y7;Agency Plant;Technology;WC;Master Agent Y;MW;1.02.2019;1.04.2019;2019;84043184;AL;12/31/2019;;0;;1;1;4079;3059,25
G8;Agency Plant;Technology;WC;Master Agent G;MW;1.05.2019;1.04.2019;2019;103732587;IL;12/31/2019;;0;;1;1;3165;3418,2
Z2;Agency Plant;Technology;WC;Master Agent Z;MW;1.01.2019;1.07.2019;2019;53462819;OH;12/31/2019;;0;;1;1;616;646,8
I2;Agency Plant;Technology;WC;Master Agent I;MW;1.07.2019;1.09.2019;2019;100861293;TX;12/31/2019;;0;;1;1;4543;4861,01
X4;Agency Plant;Technology;WC;Master Agent X;MW;1.06.2019;1.10.2019;2019;28403219;TN;12/31/2019;;0;;1;1;4158;3492,72
Y7;Agency Plant;Technology;WC;Master Agent Y;MW;1.12.2019;1.10.2019;2019;119331423;IL;12/31/2019;;0;;1;1;2199;1759,2
K8;Agency Plant;Technology;WC;Master Agent K;MW;1.02.2019;1.12.2019;2019;10997453;TX;12/31/2019;;0;;1;1;688;571,04
C4;Agency Plant;Technology;WC;Master Agent C;MW;1.04.2019;1.12.2019;2019;1533261;NC;12/31/2019;;0;;1;1;1907;1582,81
P7;Agency Plant;Technology;WC;Master Agent P;MW;1.12.2019;1.12.2019;2019;122433002;DE;12/31/2019;;0;;1;1;4278;4106,88
G1;Agency Plant;Transportation;WC;Master Agent G;MW;1.12.2019;1.06.2019;2019;12082283;AR;12/31/2019;;0;;1;1;5079;4825,05
P6;Agency Plant;Transportation;WC;Master Agent P;MW;1.10.2019;1.07.2019;2019;74712585;KY;12/31/2019;;0;;1;1;2327;2187,38
U6;Agency Plant;Wholesale Trade;WC;Master Agent U;MW;1.05.2019;1.01.2019;2019;3281851;NJ;12/31/2019;;0;;1;1;6990;7689
X1;Agency Plant;Wholesale Trade;WC;Master Agent X;MW;1.11.2019;1.01.2019;2019;74382301;GA;12/31/2019;;0;;1;1;8692;7301,28
V1;Agency Plant;Wholesale Trade;WC;Master Agent V;MW;1.07.2019;1.02.2019;2019;48654056;SC;12/31/2019;;0;;1;1;6330;5127,3
Q8;Agency Plant;Wholesale Trade;WC;Master Agent Q;MW;1.06.2019;1.03.2019;2019;111404336;MS;12/31/2019;;0;;1;1;8161;8650,66
S7;Agency Plant;Wholesale Trade;WC;Master Agent S;MW;1.03.2019;1.05.2019;2019;11925509;AL;12/31/2019;;0;;1;1;8420;7830,6
T3;Agency Plant;Wholesale Trade;WC;Master Agent T;MW;1.11.2019;1.07.2019;2019;111633451;FL;12/31/2019;;0;;1;1;4218;4471,08
V3;Agency Plant;Wholesale Trade;WC;Master Agent V;MW;1.12.2019;1.07.2019;2019;6807213;GA;12/31/2019;;0;;1;1;8903;7923,67
Z2;Agency Plant;Wholesale Trade;WC;Master Agent Z;MW;1.04.2019;1.09.2019;2019;15662846;NY;12/31/2019;;0;;1;1;2402;1801,5
H2;Agency Plant;Wholesale Trade;WC;Master Agent H;MW;1.02.2019;1.10.2019;2019;49401375;GA;12/31/2019;;0;;1;1;6630;7226,7
X6;Agency Plant;Wholesale Trade;WC;Master Agent X;MW;1.05.2019;1.10.2019;2019;18964417;AL;12/31/2019;;0;;1;1;4984;5482,4
X2;Agency Plant;Wholesale Trade;WC;Master Agent X;MW;1.10.2019;1.10.2019;2019;8850890;TX;12/31/2019;;0;;1;1;1972;1695,92
Z5;Agency Plant;Wholesale Trade;WC;Master Agent Z;MW;1.10.2019;1.10.2019;2019;109293628;NE;12/31/2019;;0;;1;1;3260;2673,2
U8;Agency Plant;Wholesale Trade;WC;Master Agent U;MW;1.11.2019;1.11.2019;2019;115271510;TN;12/31/2019;;0;;1;1;8065;6532,65
T2;Agency Plant;Wholesale Trade;WC;Master Agent T;MW;1.01.2019;1.12.2019;2019;79933941;OR;12/31/2019;;0;;1;1;1500;1635
O3;Agency Plant;Agriculture;WC;Master Agent O;NE;1.09.2019;1.02.2019;2019;7264355;NY;12/31/2019;;0;;1;1;5592;5536,08
M8;Agency Plant;Agriculture;WC;Master Agent M;NE;1.01.2019;1.04.2019;2019;69622867;NC;12/31/2019;;0;;1;1;12884;11724,44
X4;Agency Plant;Agriculture;WC;Master Agent X;NE;1.04.2019;1.04.2019;2019;86132453;NM;12/31/2019;;0;;1;1;4076;4402,08
L3;Agency Plant;Agriculture;WC;Master Agent L;NE;1.09.2019;1.05.2019;2019;34363375;MN;12/31/2019;;0;;1;1;11805;10978,65
X5;Agency Plant;Agriculture;WC;Master Agent X;NE;1.10.2019;1.06.2019;2019;10072124;NC;12/31/2019;;0;;1;1;4341;3950,31
V1;Agency Plant;Agriculture;WC;Master Agent V;NE;1.02.2019;1.07.2019;2019;61153736;FL;12/31/2019;;0;;1;1;7958;8515,06
B6;Agency Plant;Agriculture;WC;Master Agent B;NE;1.08.2019;1.07.2019;2019;113871532;VA;12/31/2019;;0;;1;1;8277;6290,52
Z4;Agency Plant;Agriculture;WC;Master Agent Z;NE;1.07.2019;1.08.2019;2019;83763606;FL;12/31/2019;;0;;1;1;8350;8767,5
K1;Agency Plant;Agriculture;WC;Master Agent K;NE;1.09.2019;1.08.2019;2019;4716563;MO;12/31/2019;;0;;1;1;12937;11902,04
X4;Agency Plant;Agriculture;WC;Master Agent X;NE;1.11.2019;1.08.2019;2019;16153770;DE;12/31/2019;;0;;1;1;4979;4381,52
B1;Agency Plant;Agriculture;WC;Master Agent B;NE;1.05.2019;1.12.2019;2019;23671898;OR;12/31/2019;;0;;1;1;9497;9117,12
O3;Agency Plant;Agriculture;WC;Master Agent O;NE;1.10.2019;1.12.2019;2019;96471695;NJ;12/31/2019;;0;;1;1;5221;5429,84
F2;Agency Plant;Construction;WC;Master Agent F;NE;1.12.2019;1.01.2019;2019;44240;NV;12/31/2019;;0;;1;1;6841;5541,21
M4;Agency Plant;Construction;WC;Master Agent M;NE;1.01.2019;1.02.2019;2019;120631570;ND;12/31/2019;;0;;1;1;10815;9841,65
Q3;Agency Plant;Construction;WC;Master Agent Q;NE;1.08.2019;1.05.2019;2019;8263941;WA;12/31/2019;;0;;1;1;6762;6153,42
L1;Agency Plant;Construction;WC;Master Agent L;NE;1.09.2019;1.05.2019;2019;77792650;CT;12/31/2019;;0;;1;1;15637;13291,45
M2;Agency Plant;Construction;WC;Master Agent M;NE;1.01.2019;1.06.2019;2019;17831201;MN;12/31/2019;;0;;1;1;14883;13692,36
T8;Agency Plant;Construction;WC;Master Agent T;NE;1.08.2019;1.06.2019;2019;21423264;AZ;12/31/2019;;0;;1;1;8715;7582,05
Q5;Agency Plant;Construction;WC;Master Agent Q;NE;1.04.2019;1.07.2019;2019;121491351;MN;12/31/2019;;0;;1;1;11391;8543,25
H6;Agency Plant;Construction;WC;Master Agent H;NE;1.01.2019;1.08.2019;2019;114962227;GA;12/31/2019;;0;;1;1;5624;5792,72
K1;Agency Plant;Construction;WC;Master Agent K;NE;1.04.2019;1.08.2019;2019;1284833;IL;12/31/2019;;0;;1;1;11524;10256,36
X6;Agency Plant;Construction;WC;Master Agent X;NE;1.10.2019;1.08.2019;2019;33802798;MD;12/31/2019;;0;;1;1;15315;12252
D5;Agency Plant;Construction;WC;Master Agent D;NE;1.01.2019;1.09.2019;2019;74512492;NY;12/31/2019;;0;;1;1;11774;12009,48
U6;Agency Plant;Construction;WC;Master Agent U;NE;1.05.2019;1.09.2019;2019;108111549;OH;12/31/2019;;0;;1;1;9490;8066,5
Q5;Agency Plant;Construction;WC;Master Agent Q;NE;1.04.2019;1.10.2019;2019;88511710;TX;12/31/2019;;0;;1;1;5250;5670
X6;Agency Plant;Construction;WC;Master Agent X;NE;1.08.2019;1.10.2019;2019;100711859;FL;12/31/2019;;0;;1;1;15609;17169,9
V3;Agency Plant;Construction;WC;Master Agent V;NE;1.08.2019;1.12.2019;2019;7463691;OK;12/31/2019;;0;;1;1;6652;5055,52
A5;Agency Plant;Consulting;WC;Master Agent A;NE;1.12.2019;1.02.2019;2019;72751595;TN;12/31/2019;;0;;1;1;3718;4015,44
U3;Agency Plant;Consulting;WC;Master Agent U;NE;1.02.2019;1.04.2019;2019;57602052;GA;12/31/2019;;0;;1;1;955;821,3
B6;Agency Plant;Consulting;WC;Master Agent B;NE;1.12.2019;1.05.2019;2019;9102691;NC;12/31/2019;;0;;1;1;6211;5527,79
J3;Agency Plant;Consulting;WC;Master Agent J;NE;1.06.2019;1.06.2019;2019;9550225;NY;12/31/2019;;0;;1;1;3722;3014,82
E2;Agency Plant;Consulting;WC;Master Agent E;NE;1.12.2019;1.07.2019;2019;37584267;FL;12/31/2019;;0;;1;1;6043;5801,28
N3;Agency Plant;Consulting;WC;Master Agent N;NE;1.12.2019;1.07.2019;2019;53964479;OH;12/31/2019;;0;;1;1;5641;5358,95
Z1;Agency Plant;Consulting;WC;Master Agent Z;NE;1.11.2019;1.08.2019;2019;9961382;NY;12/31/2019;;0;;1;1;4586;4264,98
F6;Agency Plant;Consulting;WC;Master Agent F;NE;1.08.2019;1.09.2019;2019;1389633;AL;12/31/2019;;0;;1;1;2410;1928
X1;Agency Plant;Consulting;WC;Master Agent X;NE;1.08.2019;1.09.2019;2019;3506787;FL;12/31/2019;;0;;1;1;6004;5043,36
X7;Agency Plant;Consulting;WC;Master Agent X;NE;1.05.2019;1.10.2019;2019;850152;SC;12/31/2019;;0;;1;1;4044;4327,08
P2;Agency Plant;Consulting;WC;Master Agent P;NE;1.05.2019;1.12.2019;2019;106171354;NY;12/31/2019;;0;;1;1;2408;2576,56
S7;Agency Plant;Finance & Insurance;WC;Master Agent S;NE;1.02.2019;1.01.2019;2019;5233354;NY;12/31/2019;;0;;1;1;2335;2124,85
I6;Agency Plant;Finance & Insurance;WC;Master Agent I;NE;1.06.2019;1.01.2019;2019;10991537;WA;12/31/2019;;0;;1;1;5433;4835,37
V4;Agency Plant;Finance & Insurance;WC;Master Agent V;NE;1.07.2019;1.01.2019;2019;23493823;NY;12/31/2019;;0;;1;1;1566;1299,78
Z2;Agency Plant;Finance & Insurance;WC;Master Agent Z;NE;1.06.2019;1.02.2019;2019;112523905;FL;12/31/2019;;0;;1;1;4103;3200,34
L4;Agency Plant;Finance & Insurance;WC;Master Agent L;NE;1.01.2019;1.06.2019;2019;41243988;IL;12/31/2019;;0;;1;1;1129;1061,26
H4;Agency Plant;Finance & Insurance;WC;Master Agent H;NE;1.10.2019;1.06.2019;2019;5845263;TX;12/31/2019;;0;;1;1;1641;1427,67
F6;Agency Plant;Finance & Insurance;WC;Master Agent F;NE;1.01.2019;1.07.2019;2019;5111815;IA;12/31/2019;;0;;1;1;875;770
K4;Agency Plant;Finance & Insurance;WC;Master Agent K;NE;1.05.2019;1.07.2019;2019;8158143;IN;12/31/2019;;0;;1;1;1427;1327,11
S8;Agency Plant;Finance & Insurance;WC;Master Agent S;NE;1.11.2019;1.07.2019;2019;17832147;TX;12/31/2019;;0;;1;1;5417;5796,19
M7;Agency Plant;Finance & Insurance;WC;Master Agent M;NE;1.02.2019;1.08.2019;2019;45501359;MI;12/31/2019;;0;;1;1;2053;1580,81
S7;Agency Plant;Finance & Insurance;WC;Master Agent S;NE;1.05.2019;1.08.2019;2019;118284014;NJ;12/31/2019;;0;;1;1;1324;1443,16
T8;Agency Plant;Finance & Insurance;WC;Master Agent T;NE;1.06.2019;1.08.2019;2019;120331602;SC;12/31/2019;;0;;1;1;4442;4042,22
R6;Agency Plant;Finance & Insurance;WC;Master Agent R;NE;1.02.2019;1.09.2019;2019;3691539;OH;12/31/2019;;0;;1;1;2709;2167,2
J4;Agency Plant;Finance & Insurance;WC;Master Agent J;NE;1.09.2019;1.09.2019;2019;76494453;GA;12/31/2019;;0;;1;1;1828;1901,12
F8;Agency Plant;Finance & Insurance;WC;Master Agent F;NE;1.10.2019;1.09.2019;2019;30162000;SC;12/31/2019;;0;;1;1;3683;2799,08
I3;Agency Plant;Finance & Insurance;WC;Master Agent I;NE;1.08.2019;1.10.2019;2019;56463085;FL;12/31/2019;;0;;1;1;1760;1636,8
S3;Agency Plant;Finance & Insurance;WC;Master Agent S;NE;1.09.2019;1.10.2019;2019;103911026;TX;12/31/2019;;0;;1;1;1039;1059,78
J7;Agency Plant;Finance & Insurance;WC;Master Agent J;NE;1.12.2019;1.10.2019;2019;1233721;NC;12/31/2019;;0;;1;1;4714;5043,98
Z3;Agency Plant;Finance & Insurance;WC;Master Agent Z;NE;1.06.2019;1.11.2019;2019;56934511;AR;12/31/2019;;0;;1;1;1880;1485,2
O5;Agency Plant;Finance & Insurance;WC;Master Agent O;NE;1.07.2019;1.12.2019;2019;3106447;ME;12/31/2019;;0;;1;1;2161;1858,46
G1;Agency Plant;Finance & Insurance;WC;Master Agent G;NE;1.10.2019;1.12.2019;2019;11102477;AZ;12/31/2019;;0;;1;1;3156;2682,6
J8;Agency Plant;Finance & Insurance;WC;Master Agent J;NE;1.12.2019;1.12.2019;2019;80211850;MS;12/31/2019;;0;;1;1;5198;3950,48
F5;Agency Plant;Other;WC;Master Agent F;NE;1.02.2019;1.05.2019;2019;5841765;OK;12/31/2019;;0;;1;1;4726;4064,36
D5;Agency Plant;Other;WC;Master Agent D;NE;1.10.2019;1.05.2019;2019;37132299;FL;12/31/2019;;0;;1;1;4006;4326,48
V6;Agency Plant;Other;WC;Master Agent V;NE;1.07.2019;1.07.2019;2019;84451299;IA;12/31/2019;;0;;1;1;3003;2672,67
B3;Agency Plant;Other;WC;Master Agent B;NE;1.11.2019;1.07.2019;2019;47833241;FL;12/31/2019;;0;;1;1;2197;2197
Q1;Agency Plant;Other;WC;Master Agent Q;NE;1.06.2019;1.08.2019;2019;60391574;OK;12/31/2019;;0;;1;1;4306;4435,18
M4;Agency Plant;Other;WC;Master Agent M;NE;1.05.2019;1.09.2019;2019;313713;NY;12/31/2019;;0;;1;1;4215;3667,05
Z7;Agency Plant;Real Estate;WC;Master Agent Z;NE;1.02.2019;1.01.2019;2019;64593708;NV;12/31/2019;;0;;1;1;12874;12101,56
T4;Agency Plant;Real Estate;WC;Master Agent T;NE;1.10.2019;1.01.2019;2019;27903863;TX;12/31/2019;;0;;1;1;17327;18193,35
E4;Agency Plant;Real Estate;WC;Master Agent E;NE;1.12.2019;1.01.2019;2019;1776984;CA;12/31/2019;;0;;1;1;8323;8988,84
H1;Agency Plant;Real Estate;WC;Master Agent H;NE;1.01.2019;1.03.2019;2019;27453488;CA;12/31/2019;;0;;1;1;13684;12315,6
E6;Agency Plant;Real Estate;WC;Master Agent E;NE;1.12.2019;1.04.2019;2019;270323;MD;12/31/2019;;0;;1;1;13282;13282
O8;Agency Plant;Real Estate;WC;Master Agent O;NE;1.02.2019;1.05.2019;2019;6121147;MI;12/31/2019;;0;;1;1;9278;8257,42
Q1;Agency Plant;Real Estate;WC;Master Agent Q;NE;1.09.2019;1.05.2019;2019;91951702;NJ;12/31/2019;;0;;1;1;12365;10015,65
X8;Agency Plant;Real Estate;WC;Master Agent X;NE;1.11.2019;1.07.2019;2019;70244433;GA;12/31/2019;;0;;1;1;13904;12096,48
D8;Agency Plant;Real Estate;WC;Master Agent D;NE;1.03.2019;1.08.2019;2019;7557501;FL;12/31/2019;;0;;1;1;7273;5600,21
E4;Agency Plant;Real Estate;WC;Master Agent E;NE;1.01.2019;1.10.2019;2019;116223441;TX;12/31/2019;;0;;1;1;11823;9931,32
X2;Agency Plant;Real Estate;WC;Master Agent X;NE;1.06.2019;1.12.2019;2019;43752844;CA;12/31/2019;;0;;1;1;16244;17868,4
X7;Agency Plant;Real Estate;WC;Master Agent X;NE;1.12.2019;1.12.2019;2019;49421002;TX;12/31/2019;;0;;1;1;17685;14324,85
I3;Agency Plant;Restaurants;WC;Master Agent I;NE;1.05.2019;1.01.2019;2019;55633695;ID;12/31/2019;;0;;1;1;5592;5032,8
M1;Agency Plant;Restaurants;WC;Master Agent M;NE;1.03.2019;1.02.2019;2019;2854409;TX;12/31/2019;;0;;1;1;16049;13160,18
L2;Agency Plant;Restaurants;WC;Master Agent L;NE;1.09.2019;1.02.2019;2019;57782101;VA;12/31/2019;;0;;1;1;12990;11691
O5;Agency Plant;Restaurants;WC;Master Agent O;NE;1.10.2019;1.02.2019;2019;61572082;CA;12/31/2019;;0;;1;1;5370;4349,7
N5;Agency Plant;Restaurants;WC;Master Agent N;NE;1.12.2019;1.02.2019;2019;93022584;NC;12/31/2019;;0;;1;1;12496;12371,04
L4;Agency Plant;Restaurants;WC;Master Agent L;NE;1.02.2019;1.04.2019;2019;3042779;SC;12/31/2019;;0;;1;1;14723;13545,16
P7;Agency Plant;Restaurants;WC;Master Agent P;NE;1.03.2019;1.04.2019;2019;74733723;LA;12/31/2019;;0;;1;1;5256;5256
V4;Agency Plant;Restaurants;WC;Master Agent V;NE;1.11.2019;1.04.2019;2019;11291941;AL;12/31/2019;;0;;1;1;3395;2851,8
I6;Agency Plant;Restaurants;WC;Master Agent I;NE;1.12.2019;1.04.2019;2019;107094191;FL;12/31/2019;;0;;1;1;6307;4730,25
M8;Agency Plant;Restaurants;WC;Master Agent M;NE;1.01.2019;1.05.2019;2019;63374455;MT;12/31/2019;;0;;1;1;2293;1971,98
A8;Agency Plant;Restaurants;WC;Master Agent A;NE;1.11.2019;1.05.2019;2019;70052763;NC;12/31/2019;;0;;1;1;12958;10366,4
